asof,Global Equity,DM Govt Bond,Inflation Linked,IG Credit,High Yield,Securitised,EM Debt,Gold
1975-12-31,24.8581,38.3653,0.0000,26.0328,0.0000,4.9614,0.0000,5.7824
1976-12-31,25.6289,38.7768,0.0000,25.6345,0.0000,4.9529,0.0000,5.0069
1977-12-31,23.7868,38.6260,0.0000,26.5052,0.0000,5.3852,0.0000,5.6968
1978-12-31,23.4736,37.5545,0.0000,26.1225,0.0000,5.9367,0.0000,6.9127
1979-12-31,24.2118,32.6833,0.0000,23.7327,0.0000,6.1997,0.0000,13.1725
1980-12-31,26.6190,31.8213,0.0000,22.4217,0.0000,6.3233,0.0000,12.8147
1981-12-31,23.8968,34.4293,0.4182,25.1432,0.0000,7.5684,0.0000,8.5441
1982-12-31,23.8371,35.6154,0.4326,23.9699,0.0000,7.7459,0.0000,8.3991
1983-12-31,25.7435,36.6033,0.4446,22.7987,0.0000,8.0690,0.0000,6.3409
1984-12-31,23.1391,38.7650,0.4708,21.5743,2.4289,8.8625,0.0000,4.7594
1985-12-31,26.4891,37.5258,0.4558,20.5549,2.3141,8.5562,0.0000,4.1041
1986-12-31,29.7934,34.4267,0.4181,20.2605,2.2810,8.7378,0.0000,4.0825
1987-12-31,31.0472,32.5119,0.3949,20.1353,2.2669,9.1547,0.0000,4.4891
1988-12-31,33.3765,31.2959,0.3801,20.1176,2.2649,9.1588,0.0000,3.4062
1989-12-31,35.9650,29.6081,0.3596,19.5780,2.2041,9.2942,0.0000,2.9910
1990-12-31,28.6553,33.1396,0.4025,21.6147,2.4334,10.8874,0.0000,2.8671
1991-12-31,30.5537,32.9393,0.4001,20.7846,2.3400,10.6257,0.0000,2.3566
1992-12-31,28.5599,33.8927,0.4117,21.4322,2.4129,11.0810,0.0000,2.2096
1993-12-31,32.3041,31.8595,0.3870,20.6453,2.3243,10.1609,0.0000,2.3189
1994-12-31,31.0342,32.0607,0.3894,21.2486,2.3922,10.7724,0.0000,2.1025
1995-12-31,32.3329,30.6081,0.3718,20.7916,2.3408,10.5442,1.1042,1.9064
1996-12-31,34.2427,29.0522,0.3529,20.4165,2.2985,10.4172,1.5106,1.7094
1997-12-31,36.6085,24.8242,2.2567,20.6376,2.3234,10.6310,1.4120,1.3066
1998-12-31,36.9210,23.6576,2.1507,21.0825,2.3735,11.2894,1.3316,1.1937
1999-12-31,42.4081,20.6346,1.8759,19.5996,2.2066,11.0049,1.2275,1.0428
2000-12-31,40.5485,20.1560,1.8324,20.6277,2.3223,11.9473,1.5475,1.0183
2001-12-31,36.2123,20.2359,1.8396,22.6771,2.5531,13.4664,1.9320,1.0836
2002-12-31,29.7040,22.6391,2.0581,24.5176,2.7603,14.7940,2.2095,1.3174
2003-12-31,33.0571,22.0172,2.0016,23.0898,2.5995,13.5123,2.3916,1.3309
2004-12-31,33.8789,22.5949,2.0541,22.3581,2.5171,12.8134,2.5438,1.2397
2005-12-31,36.1271,20.9784,1.9071,21.9753,2.4740,12.5798,2.5384,1.4199
2006-12-31,38.7534,19.5379,1.7762,21.5199,2.4228,12.0929,2.3448,1.5521
2007-12-31,40.0919,18.4702,1.6791,21.3293,2.4013,11.8923,2.3575,1.7784
2008-12-31,24.8463,24.7338,2.2485,25.4414,2.8643,15.1890,2.5175,2.1592
2009-12-31,31.7005,24.1589,2.1963,21.9722,2.4737,12.4319,2.6277,2.4388
2010-12-31,33.5272,25.2168,2.2924,20.5013,2.3081,10.3721,2.8550,2.9271
2011-12-31,30.1138,27.1668,2.4697,21.0209,2.3666,10.4958,2.9561,3.4103
2012-12-31,32.6890,26.2440,2.3858,20.0532,2.2576,9.6182,3.2822,3.4700
2013-12-31,37.4106,24.7152,2.2468,19.0878,2.1490,8.7949,3.1265,2.4692
2014-12-31,39.6303,23.6550,2.1505,18.3318,2.0638,8.3552,3.2701,2.5433
2015-12-31,38.4851,23.8386,2.1671,19.0998,2.1503,8.7474,3.1129,2.3988
2016-12-31,39.2927,23.0460,2.0951,18.9174,2.1298,8.6416,3.2807,2.5967
2017-12-31,42.4671,21.2528,1.9321,18.0410,2.0311,8.0452,3.6187,2.6120
2018-12-31,39.0230,22.6659,2.0605,19.0482,2.1445,8.4451,3.8954,2.7174
2019-12-31,40.4421,21.9039,1.9913,18.4146,2.0732,8.2617,3.8680,3.0452
2020-12-31,42.7325,21.4296,1.9481,17.3745,1.9561,7.6916,3.5078,3.3598
2021-12-31,46.6399,19.6166,1.7833,16.4192,1.8485,7.1342,3.4838,3.0745
2022-12-31,41.7175,21.4005,1.9455,17.8447,2.0090,7.7337,4.0385,3.3106
2023-12-31,41.9313,21.8023,1.9820,17.0816,1.9231,7.4763,4.3009,3.5025
2024-12-31,43.5558,21.5006,1.9546,16.0322,1.8050,6.9712,3.9880,4.1926
2025-12-31,45.0086,20.4841,1.8622,14.5837,1.6419,6.3743,4.1363,5.9089
